Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2024-11-08T00:00:00+05:30,1818,1840.6,1813.15,1829.95,4210960,0,1803.05,1840.6,1803.05,37.55,14.95,UP,26.9,,,-103.4,,,,
2024-11-07T00:00:00+05:30,1812.95,1825.7,1787,1803.05,4550965,0,1823.7,1825.7,1787,38.7,-10.75,DOWN,-20.65,,,-136.05,,,,
2024-11-06T00:00:00+05:30,1764,1827.2,1762.65,1823.7,10421494,0,1754.2,1827.2,1754.2,73,9.8,UP,69.5,,,-76.4,,,,
2024-11-05T00:00:00+05:30,1760,1768.45,1745,1754.2,3160880,0,1763.65,1768.45,1745,23.45,-3.65,DOWN,-9.45,,,-121.95,,,,
2024-11-04T00:00:00+05:30,1724.5,1767,1718,1763.65,7336722,0,1760.85,1767,1718,49,-36.35,UP,2.8,,,-98.45,,,,
2024-11-01T00:00:00+05:30,1764.5,1766,1752.05,1760.85,371966,0,1757.25,1766,1752.05,13.95,7.25,UP,3.6,,,-119.4,,,,
2024-10-31T00:00:00+05:30,1787.9,1787.9,1746.5,1757.25,7395236,0,1802.1,1802.1,1746.5,55.6,-14.2,DOWN,-44.85,,,-115.45,,,,
2024-10-30T00:00:00+05:30,1832,1839,1796.35,1802.1,5919715,0,1839.3,1839.3,1796.35,42.95,-7.3,DOWN,-37.2,,,-70.1,,,,
2024-10-29T00:00:00+05:30,1846,1851.6,1829,1839.3,4621252,0,1865.35,1865.35,1829,36.35,-19.35,DOWN,-26.05,,,-25.5,,,,
2024-10-28T00:00:00+05:30,1859.7,1881.9,1857,1865.35,7018940,0,1862.05,1881.9,1857,24.9,-2.35,UP,3.3,,,6.4,,,,
2024-10-25T00:00:00+05:30,1863.45,1876.35,1846.4,1862.05,4689120,0,1863.35,1876.35,1846.4,29.95,0.1,DOWN,-1.3,,,38.8,,,,
2024-10-24T00:00:00+05:30,1861.4,1884,1860,1863.35,2906475,0,1873.4,1884,1860,24,-12,DOWN,-10.05,,,65.9,,,,
2024-10-23T00:00:00+05:30,1845.25,1886,1844,1873.4,4311910,0,1851.6,1886,1844,42,-6.35,UP,21.8,,,76,,,,
2024-10-22T00:00:00+05:30,1858.2,1877.8,1846.95,1851.6,4125240,0,1852.75,1877.8,1846.95,30.85,5.45,DOWN,-1.15,,,80.85,,,,
2024-10-21T00:00:00+05:30,1891.1,1898.8,1838,1852.75,4654601,0,1879.6,1898.8,1838,60.8,11.5,DOWN,-26.85,,,109.6,,,,
2024-10-18T00:00:00+05:30,1893.8,1936.85,1869.25,1879.6,10526196,0,1968.1,1968.1,1869.25,98.85,-74.3,DOWN,-88.5,,,87.95,,,,
2024-10-17T00:00:00+05:30,1935.2,1978,1930.15,1968.1,8162822,0,1920.1,1978,1920.1,57.9,15.1,UP,48,,,217,,,,
2024-10-16T00:00:00+05:30,1955,1959.55,1916.35,1920.1,3111512,0,1959.3,1959.55,1916.35,43.2,-4.3,DOWN,-39.2,,,168.2,,,,
